mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
215887000,189.0,32.0,12.8,70.0,,689,2021,2021
215891000,210.0,30.0,11.5,70.0,,1235,2023,2025
215919000,237.0,44.0,12.2,80.0,,384,2024,2024
215923000,183.0,32.0,8.3,80.0,,945,2021,2024
215929000,188.0,28.0,11.3,70.0,,281,2016,2016
215930000,365.0,52.0,13.2,79.0,,64,2025,2025
215931000,183.0,32.0,12.0,80.0,,32,2025,2025
215935000,183.0,32.0,9.5,82.0,,616,2022,2023
215936000,183.0,32.0,10.7,80.0,,246,2021,2021
215938000,180.0,32.0,8.7,70.0,,476,2024,2024
215939000,183.0,32.0,8.2,80.0,,400,2024,2024
215948000,225.0,32.0,14.1,70.0,,467,2016,2016
215956000,180.0,28.0,10.3,80.0,,25,2023,2023
215965000,366.0,52.0,12.7,71.0,,2271,2021,2023
215971000,183.0,32.0,12.8,80.0,,378,2021,2021
215989000,250.0,44.0,12.8,80.0,,624,2024,2025
215992000,149.0,20.0,,70.0,,2174,2021,2022
218023000,280.0,32.0,12.5,70.0,,2643,2018,2021
218029000,332.0,44.0,,71.0,,1169,2015,2015
218042000,335.0,43.0,14.6,79.0,,6290,2015,2020
218060000,300.0,43.0,14.5,74.0,,279,2016,2016
218062000,300.0,42.0,12.2,79.0,,1889,2015,2015
218063000,335.0,42.0,14.6,70.0,,489,2020,2020
218068000,299.0,42.0,11.9,79.0,,854,2016,2016
218069000,335.0,42.0,12.3,79.0,,678,2015,2015
218070000,333.0,42.0,12.2,70.0,,352,2015,2015
218071000,299.0,42.0,12.6,79.0,,1615,2015,2016
218074000,334.0,42.0,12.6,79.0,,450,2015,2015
218092000,336.0,42.0,14.6,70.0,,1809,2018,2021
218132000,272.0,40.0,10.2,72.0,,457,2015,2015
218158000,335.0,42.0,14.5,70.0,,5288,2015,2022
218284000,336.0,43.0,14.5,79.0,,2363,2015,2020
218292000,200.0,32.0,7.3,89.0,,709,2024,2024
218350000,335.0,42.0,14.6,70.0,,971,2019,2023
218352000,335.0,42.0,14.6,70.0,,770,2020,2021
218355000,335.0,42.0,14.6,70.0,,4993,2017,2023
218361000,335.0,42.0,14.6,70.0,,1606,2017,2021
218400000,365.0,51.0,16.0,70.0,,474,2021,2021
218426000,366.0,48.0,12.2,71.0,,1343,2025,2025
218427000,366.0,48.0,12.0,71.0,,770,2023,2024
218433000,125.0,22.0,7.6,70.0,,956,2020,2023
218441000,366.0,51.0,13.6,71.0,,2168,2021,2023
218474000,366.0,48.0,15.5,70.0,,827,2019,2024
218509000,125.0,22.0,7.6,70.0,,666,2021,2022
218553000,152.0,20.0,7.1,79.0,,19,2021,2021
218582000,324.0,42.0,14.5,70.0,,1745,2015,2020
218614000,325.0,43.0,14.5,72.0,,1708,2015,2020
218629000,119.0,20.0,7.6,70.0,,1202,2021,2022
218643000,337.0,46.0,15.0,71.0,,2778,2016,2025
218650000,336.0,45.0,15.0,70.0,,5223,2016,2024
218744000,272.0,40.0,13.2,70.0,,605,2015,2016
218764000,272.0,40.0,13.2,70.0,,3526,2015,2018
218774000,366.0,48.0,15.5,70.0,,723,2022,2022
218776000,366.0,48.0,15.5,70.0,,3300,2021,2025
218791000,366.0,48.0,15.5,70.0,,4695,2018,2025
218811000,269.0,32.0,10.1,70.0,,779,2015,2016
218819000,366.0,51.0,13.5,71.0,,455,2023,2023
218820000,183.0,31.0,9.1,70.0,,1111,2018,2019
218821000,183.0,32.0,8.8,79.0,,162,2016,2016
218824714,348.0,42.0,12.2,71.0,,541,2020,2020
218826000,175.0,27.0,10.9,70.0,,1765,2018,2022
218829000,262.0,32.0,9.5,71.0,,440,2018,2018
218834000,222.0,30.0,9.0,71.0,,133,2022,2022
218838000,175.0,27.0,10.9,70.0,,127,2020,2020
218841000,324.0,42.0,14.5,70.0,,769,2019,2020
218842000,324.0,42.0,14.5,70.0,,1067,2019,2020
218843000,350.0,42.0,15.0,70.0,,646,2021,2023
218844000,350.0,42.0,15.0,70.0,,1264,2017,2023
218845000,350.0,42.0,12.1,71.0,,2040,2019,2025
218846000,350.0,42.0,15.0,70.0,,2655,2017,2022
218847000,270.0,40.0,13.5,70.0,,3790,2018,2024
218848000,337.0,46.0,,71.0,,1220,2016,2017
